SITE_ID,SITE_NAME,AreaName,Township,County,address,lon,lat
EPA001,基隆,北部空品區,信義區,基隆市,基隆市信義區東信路324號,121.7601,25.1292
EPA002,汐止,北部空品區,汐止區,新北市,新北市汐止區樟樹一路137巷26號,121.6408,25.0657
EPA003,萬里,北部空品區,萬里區,新北市,新北市萬里區瑪鋉路221號,121.6899,25.1797
EPA004,新店,北部空品區,新店區,新北市,新北市新店區民族路108號,121.5378,24.9772
EPA005,土城,北部空品區,土城區,新北市,新北市土城區學府路1段241號,121.4519,24.9825
EPA006,板橋,北部空品區,板橋區,新北市,新北市板橋區文化路1段25號,121.4587,25.013
EPA007,新莊,北部空品區,新莊區,新北市,新北市新莊區中正路510號,121.4325,25.038
EPA008,菜寮,北部空品區,三重區,新北市,新北市三重區中正北路163號,121.481,25.069
EPA009,林口,北部空品區,林口區,新北市,新北市林口區文化北路1段425號,121.3657,25.0786
EPA010,淡水,北部空品區,淡水區,新北市,新北市淡水區中正東路42巷6號,121.4492,25.1645
EPA011,士林,北部空品區,北投區,臺北市,臺北市北投區文林北路155號,121.5145,25.1059
EPA012,中山,北部空品區,中山區,臺北市,臺北市中山區林森北路511號,121.5265,25.0624
EPA013,萬華,北部空品區,萬華區,臺北市,臺北市萬華區中華路1段66號,121.508,25.0465
EPA014,古亭,北部空品區,大安區,臺北市,臺北市大安區羅斯福路3段201號,121.5296,25.0206
EPA015,松山,北部空品區,松山區,臺北市,臺北市松山區八德路4段746號,121.5786,25.05
EPA016,大同,北部空品區,大同區,臺北市,臺北市大同區重慶北路3段2號,121.5133,25.0632
EPA017,桃園,北部空品區,桃園區,桃園市,桃園市桃園區莒光街15號,121.3044,24.9957
EPA018,大園,北部空品區,大園區,桃園市,桃園市大園區中正東路160號,121.2018,25.0603
EPA019,觀音,北部空品區,觀音區,桃園市,桃園市觀音區文化路2號,121.0828,25.0355
EPA020,平鎮,北部空品區,平鎮區,桃園市,桃園市平鎮區復興街55號,121.205,24.9542
EPA021,龍潭,北部空品區,龍潭區,桃園市,桃園市龍潭區中正路210號,121.2164,24.8639
EPA022,湖口,竹苗空品區,湖口鄉,新竹縣,新竹縣湖口鄉成功路360號,121.0387,24.9001
EPA023,竹東,竹苗空品區,竹東鎮,新竹縣,新竹縣竹東鎮榮樂里三民街70號,121.0889,24.7406
EPA024,新竹,竹苗空品區,東區,新竹市,新竹市東區民族路33號,120.9721,24.8056
