hour_ahead,rmse_pooled,mae_pooled,n_valid
1,4.589521974270226,3.156370638084168,23087
2,4.655605885516379,3.2866724900823976,23120
3,5.025886485282799,3.4455706472265857,23115
4,5.150110588198108,3.555520301407826,23119
5,5.4754271080148404,3.6513682944095036,23109
6,5.624173778899339,3.791090484553482,23087
7,5.858390960446273,3.972400818496285,23110
8,6.142703573565039,4.186866521535975,23097
9,6.508975148319996,4.444243251846074,23079
10,6.799581182302267,4.735915197455008,22903
11,7.023507315434459,4.958781404706002,22285
12,7.074145212816469,5.058372698111414,22357
13,7.1296917946835014,5.134333955554874,22636
14,6.911150655811298,5.032118421112616,22401
15,6.715171074386293,4.872167150441949,22412
16,6.506743835745851,4.766634748075805,22703
17,6.605573444670178,4.7211538855541475,22907
18,6.541519793010859,4.747630677534501,23038
19,6.623903888698388,4.852342612556926,23068
20,6.847530474879084,4.986728055890674,23079
21,7.268321068453465,5.144256930245376,23103
22,7.365348055412659,5.22889878413878,23106
23,7.292758645855834,5.269005415295329,23102
24,7.314615485945325,5.27656867062818,23107
25,7.614606018291357,5.491878302466696,23056
26,7.455664259319484,5.412683588805136,23089
27,7.499057778595862,5.3728784199212125,23084
28,7.32586906002611,5.285746201092494,23087
29,7.356921014034397,5.196129288073377,23078
30,7.317976324734148,5.199059084057808,23056
31,7.39160021971326,5.274313202505509,23080
32,7.569712259999444,5.3874194419963874,23066
33,7.837639012745703,5.58324082315943,23049
34,7.945926605871537,5.739045678109879,22872
35,8.001032587899928,5.87013969703895,22263
36,7.925197360054958,5.851837628766953,22328
37,7.847539490781626,5.805329506961173,22602
38,7.506504474493354,5.598015347301259,22371
39,7.229857326066457,5.358469762417894,22388
40,6.980376833380334,5.208020360151751,22675
41,7.0545127670435965,5.160690409449713,22879
42,6.990096662337027,5.1764191395249775,23007
43,7.081194354834943,5.271939454367202,23038
44,7.311444110343515,5.429111741277948,23049
45,7.729242265822603,5.58652455069043,23073
46,7.839272222585263,5.672033223892585,23076
47,7.777495148010688,5.693429601729332,23071
48,7.812206712150175,5.717835699040672,23076
49,8.105273843974128,5.903125348823861,23024
50,7.939278623364432,5.809379872687207,23058
51,7.948549597707448,5.7581457262809055,23053
52,7.787933219187055,5.657977971267072,23056
53,7.7987015697932796,5.55870379894505,23047
54,7.7382799208578374,5.567495981852214,23025
55,7.806020755591438,5.6297958171819165,23049
56,7.977546463734285,5.733002403632716,23035
57,8.209394250298162,5.890810240981622,23018
58,8.273013037704398,6.0139998951804925,22843
59,8.283238316483798,6.089520600297632,22232
60,8.178102799840325,6.066228529168561,22298
61,8.079481904783904,6.002066652032895,22572
62,7.709168135323495,5.77238482465721,22346
63,7.415730987481939,5.5185049698979265,22367
64,7.141461064997197,5.347653913689468,22654
65,7.201476880921532,5.288870576475132,22860
66,7.123956830285139,5.294465381925837,22987
67,7.239998361858987,5.413435014708325,23019
68,7.475976912899307,5.576474408765901,23030
69,8.019739406726872,5.754610199749164,23054
70,8.032167857742593,5.835122834365821,23057
71,7.974022285187253,5.858659044996682,23052
72,8.032880503708776,5.896868555855089,23057
