Station,MAE_base,RMSE_base,N_base,MAE_imp,RMSE_imp,N_imp,RMSE_diff
三義,5.117266195265859,6.623394991555167,23113,4.9368001553314,6.4359857833722,23113,-0.18740920818296747
中壢,5.458817161020058,7.840377954691263,23199,5.389360294562382,7.571250415561601,23199,-0.2691275391296619
中山,4.993925924395249,6.9972671807426225,23208,4.9311798603750026,6.912224769195269,23208,-0.08504241154735315
二林,6.670333346740642,9.497916323380382,22908,6.811276815877195,9.523105319108646,22908,0.025188995728264274
仁武,5.73211058528661,8.057947239056697,23241,5.637782529290759,7.891717825614149,23241,-0.16622941344254727
冬山,3.7578649259154413,5.217335543037973,23585,3.6632331786429653,5.118893210068057,23585,-0.098442332969916
前金,5.452521407941212,7.827722002309577,23064,5.394872714693332,7.701495930510212,23064,-0.12622607179936463
前鎮,5.538255658437509,7.827113628731827,23445,5.575234657982362,7.765305588084145,23445,-0.06180804064768264
南投,5.674490094856099,7.824340707518361,23088,5.581999578955309,7.623732980623992,23088,-0.20060772689436845
古亭,5.006630724875955,6.895336852899114,23560,5.056055969586802,6.934855130406012,23560,0.039518277506897626
善化,5.5743580559295225,7.7347077827121105,23571,5.446559109668992,7.64285969863817,23571,-0.0918480840739404
嘉義,6.113582314814738,8.519277943290948,23380,6.050270445862828,8.303346305947894,23380,-0.2159316373430542
土城,5.2777287588179105,7.3034275838872915,23523,5.302224671278651,7.301753849370885,23523,-0.0016737345164061779
埔里,5.425148871825785,7.118420592272288,23506,5.14946860330661,6.810033533600816,23506,-0.30838705867147187
基隆,4.5934636179365524,6.3796957256183955,23519,4.5693835921674575,6.276148686455539,23519,-0.10354703916285679
士林,4.973738998909214,6.689856938949205,23532,4.94354038908837,6.62846000613889,23532,-0.06139693281031544
大園,5.395856492993288,7.612998905561617,23454,5.4279399086134585,7.567812698760131,23454,-0.04518620680148633
大寮,6.188429328922843,8.670668466633222,23486,6.051244038633255,8.448833569671297,23486,-0.2218348969619246
大里,6.084810534393906,8.356710864841174,23153,5.878032975061323,8.124566591205742,23153,-0.23214427363543244
安南,5.730553239648462,8.132005199557065,23567,5.527337535891418,7.823772686839039,23567,-0.30823251271802654
宜蘭,3.8613279610960958,5.3405362412389135,23522,3.7860225260019527,5.260645568793575,23522,-0.07989067244533832
富貴角,4.867052874384794,6.953699691530019,22919,4.733173687812171,6.7964113951613445,22919,-0.1572882963686748
小港,5.670080185963251,7.896411004977144,22989,5.548303281391288,7.696056110989367,22989,-0.20035489398777706
屏東,5.603625993512234,7.617194053076127,23533,5.530635354476643,7.449891747616247,23533,-0.1673023054598799
崙背,6.605145159887254,9.31854407845463,23221,6.527741769062323,8.96420206080639,23221,-0.354342017648241
左營,5.746731028915477,8.107706753367436,23147,5.698034682623866,8.065536437984731,23147,-0.042170315382705326
平鎮,5.292299023242531,7.453924892511658,23247,5.334343421278182,7.418790939462582,23247,-0.03513395304907618
